Model,Accuracy,Precision,Recall,Specificity,F1 Score,ROC-AUC
Naive Random Oversampling,0.6794541740696424,0.009976247030878859,0.7241379310344828,0.634770417104802,0.019681349578256794,0.7253882113739253
SMOTE Oversampling,0.661862286522354,0.009487666034155597,0.6896551724137931,0.6340694006309149,0.018717828731867104,0.7128196037511095
Cluster Centroid Undersampling,0.6130026469415135,0.00756507244518528,0.6781609195402298,0.5478443743427971,0.014963225970073548,0.6657024332792126
SMOTEENN Sampling,0.6550354335625738,0.008809956649419661,0.7241379310344828,0.5859329360906648,0.017408123791102514,0.7201963920481633
Balanced Random Forest,0.751698151975537,0.1595744680851064,0.5172413793103449,0.9861549246407291,0.24390243902439024,0.8894092794705579
Easy Ensemble,0.9056447941469153,0.06654991243432574,0.8735632183908046,0.937726369903026,0.12367778681855167,0.9634652238082384
